wave_number,fsc_nomask,fsc_loosemask,fsc_tightmask,fsc_noisesub_raw,fsc_noisesub_true,fsc_noisesub
107.5,0.127562,0.913054,0.976321,0.896232,0.77181,0.77181
108.5,0.126901,0.911535,0.975661,0.873217,0.808023,0.808023
109.5,0.121659,0.908367,0.974839,0.850042,0.832212,0.832212
110.5,0.112764,0.904293,0.974028,0.824351,0.852135,0.852135
111.5,0.115398,0.899741,0.973308,0.797178,0.868399,0.868399
112.5,0.106219,0.896655,0.972601,0.768212,0.881795,0.881795
113.5,0.11109,0.895182,0.971979,0.743882,0.890593,0.890593
114.5,0.101911,0.893775,0.971117,0.722683,0.895849,0.895849
115.5,0.102319,0.891283,0.970249,0.698004,0.901484,0.901484
116.5,0.100395,0.888221,0.96943,0.669578,0.907481,0.907481
117.5,0.095694,0.884704,0.968798,0.639854,0.913364,0.913364
118.5,0.094426,0.881234,0.968189,0.615256,0.917319,0.917319
119.5,0.098262,0.877907,0.9674,0.593458,0.91981,0.91981
